Site-name,url,datetime,data,twitter,facebook,other,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-message-claiming-the-government-can-read-whatsapp-chats-untrue/articleshow/70816223.cms,2019-08-24T14:59:20+05:30,"Government can read WhatsApp chats ,  new red tick feature on WhatsApp",,,https://static.toiimg.com/img/70816504/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-2016-video-being-shared-claiming-it-shows-protests-in-kashmir/articleshow/70801870.cms,2019-08-23T15:25:33+05:30,Kashmiris protest abrogation of 370 despite Indian Army presence,,https://www.facebook.com/somtkar/videos/417086535576705/,https://static.toiimg.com/img/70802445/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-amu-students-did-not-put-up-objectionable-poster-on-pm-modi/articleshow/70768647.cms,2019-08-21T15:39:16+05:30,Derogatory banner on PM Modi put up by students of AMU,https://twitter.com/AjitKDoval_NSA/status/1163774972055060480,,https://static.toiimg.com/img/70769137/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-photo-of-luxury-hotel-in-srinagar-shared-as-ghulam-nabi-azads-house/articleshow/70737866.cms,2019-08-19T16:45:51+05:30,Hotel of Taj Vivanta shared as residence of Ghulam Nabi Azad,https://twitter.com/manjprad/status/1162993163935469568,,https://static.toiimg.com/img/70737991/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-pakistan-minister-tweets-manipulated-video-alleging-atrocities-in-kashmir/articleshow/70735427.cms,2019-08-19T15:06:22+05:30,Security forces thrashing people in Kashmir,https://twitter.com/AliHZaidiPTI/status/1162970644176396290,,https://static.toiimg.com/img/70736210/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-unesco-did-not-declare-indian-national-anthem-best-in-the-world/articleshow/70731926.cms,2019-08-19T11:15:39+05:30,UNESCO declares Indian national anthem 'best in the world',https://twitter.com/alok_ajay/status/1162645312709644288,,https://static.toiimg.com/img/70732325/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-old-video-from-sri-lanka-shared-as-attack-on-muslim-women-in-kashmir/articleshow/70701432.cms,2019-08-16T17:27:41+05:30,Lanka video posted as attack on Kashmiri Muslim women,,https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Fhkhan11330%2Fvideos%2F505898330157228%2F&show_text=0&width=560,https://static.toiimg.com/img/70701532/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-pm-modi-didnt-urge-people-to-use-only-indian-products-during-diwali/articleshow/70676055.cms,2019-08-14T16:53:52+05:30,Modi urges people to use only Indian products,https://twitter.com/PMOIndia/status/770930664141185024,,https://static.toiimg.com/img/70676108/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-is-the-man-in-this-viral-video-mumbai-police-commissioner/articleshow/70661675.cms,2019-08-13T18:55:14+05:30,Mumbai Police commissioner warns of terror attacks,https://twitter.com/TarunnSarreen/status/1160759707285348352,https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Fharshal.jagtap.165%2Fvideos%2F10157348759619666%2F&show_text=0&width=261,https://static.toiimg.com/img/70661815/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-photos-jk-police-tweeted-claiming-normalcy-are-not-from-jammu/articleshow/70654307.cms,2019-08-13T13:18:15+05:30,Photos tweeted are from Jammu and Kashmir's Jammu division,https://twitter.com/JmuKmrPolice/status/1160178538009333760,,https://static.toiimg.com/img/70655282/Master.jpg,
